month,week,day,hour,DotW,WR
1,1,6,23,5,0
1,1,6,0,6,0
1,1,6,1,6,0
1,1,6,2,6,0
1,1,6,3,6,0
1,1,6,4,6,0
1,1,6,5,6,0
1,1,6,6,6,0
1,1,6,7,6,0
1,1,6,8,6,0
1,1,6,9,6,19
1,1,6,10,6,36
1,1,6,11,6,36
1,1,6,12,6,46
1,1,6,13,6,57
1,1,6,14,6,59
1,1,6,15,6,70
1,1,6,16,6,59
1,1,6,20,6,0
1,1,6,21,6,0
1,1,6,22,6,0
1,1,6,23,6,0
1,1,6,0,7,0
1,1,6,1,7,0
1,1,6,2,7,0
1,1,6,3,7,0
1,1,6,4,7,0
1,1,6,5,7,0
1,1,6,6,7,0
1,1,6,7,7,0
1,1,6,8,7,0
1,1,6,9,7,34
1,1,6,10,7,43
1,1,6,11,7,50
1,1,6,13,7,51
1,1,6,14,7,67
1,1,6,15,7,62
1,1,6,16,7,73
1,1,6,17,7,70
1,1,6,18,7,60
1,1,6,19,7,69
1,1,6,20,7,55
1,1,6,21,7,52
1,1,6,23,7,0
1,2,7,0,3,0
1,2,7,1,3,0
1,2,7,2,3,0
1,2,7,3,3,0
1,2,7,4,3,0
1,2,7,5,3,0
1,2,7,6,3,14
1,2,7,7,3,35
1,2,7,8,3,42
1,2,7,9,3,29
1,2,7,10,3,76
1,2,7,11,3,69
1,2,7,13,3,105
1,2,7,15,3,103
1,2,7,16,3,118
1,2,7,17,3,118
1,2,7,18,3,97
1,2,7,20,3,82
1,2,7,21,3,84
1,2,7,22,3,52
1,2,7,23,3,0
1,1,7,0,4,0
1,1,7,1,4,0
1,1,7,2,4,0
1,1,7,3,4,0
1,1,7,4,4,0
1,1,7,5,4,0
1,1,7,6,4,20
1,1,7,7,4,41
1,1,7,8,4,46
1,1,7,9,4,50
1,1,7,10,4,97
1,1,7,11,4,87
1,1,7,12,4,111
1,1,7,13,4,110
1,1,7,14,4,118
1,1,7,15,4,115
1,1,7,16,4,169
1,1,7,17,4,160
1,1,7,18,4,156
1,1,7,19,4,147
1,1,7,20,4,109
1,1,7,21,4,80
1,1,7,22,4,62
1,1,7,23,4,41
1,1,7,0,6,0
1,1,7,1,6,0
1,1,7,2,6,0
1,1,7,3,6,0
1,1,7,4,6,0
1,1,7,5,6,0
1,1,7,6,6,0
1,1,7,7,6,0
1,1,7,8,6,10
1,1,7,9,6,29
1,1,7,10,6,49
1,1,7,11,6,66
1,1,7,12,6,57
1,1,7,13,6,72
1,1,7,14,6,104
1,1,7,15,6,76
1,1,7,16,6,105
1,1,7,17,6,134
1,1,7,18,6,134
1,1,7,19,6,82
1,1,7,20,6,25
1,1,7,21,6,20
1,1,7,22,6,0
1,1,7,23,6,0
1,1,7,0,7,0
1,1,7,1,7,0
1,1,7,2,7,0
1,1,7,3,7,0
1,1,7,4,7,0
1,1,7,5,7,0
1,1,7,6,7,0
1,1,7,7,7,0
1,1,7,8,7,0
1,1,7,9,7,26
1,1,7,10,7,42
1,1,7,11,7,60
1,1,7,12,7,66
1,1,7,13,7,64
1,1,7,14,7,54
1,1,7,16,7,70
1,1,7,17,7,86
1,1,7,18,7,110
1,1,7,20,7,59
1,1,7,21,7,46
1,1,7,22,7,43
1,1,7,23,7,0
1,2,8,0,1,0
1,2,8,1,1,0
1,2,8,2,1,0
1,2,8,3,1,0
1,2,8,4,1,0
1,2,8,5,1,0
1,2,8,6,1,28
1,2,8,7,1,48
1,2,8,8,1,59
1,2,8,9,1,68
1,2,8,10,1,114
1,2,8,11,1,132
1,2,8,12,1,134
1,2,8,13,1,122
1,2,8,14,1,127
